matthias-maxime,61%(M) -- 69%(I)
city-of-men,56%(M) -- 45%(I)
nine,24%(M) -- 25%(I)
take-me-somewhere-nice,41%(M) -- 41%(I)
the-visitor,46%(M) -- 38%(I)
the-dead-and-the-others,59%(M) -- 52%(I)
epic,22%(M) -- 21%(I)
one-from-the-heart,40%(M) -- 39%(I)
superman-ii-the-richard-donner-cut,55%(M) -- 46%(I)
microhabitat,59%(M) -- 67%(I)
the-uninvited-2009,41%(M) -- 38%(I)
a-faithful-man,59%(M) -- 55%(I)
12-08-east-of-bucharest,54%(M) -- 50%(I)
the-messenger,58%(M) -- 55%(I)
amanda-2018,55%(M) -- 51%(I)
1900,55%(M) -- 60%(I)
jessica-forever,44%(M) -- 49%(I)
schools-out-2018,56%(M) -- 51%(I)
jane-2017-1,60%(M) -- 57%(I)
lancelot-of-the-lake,62%(M) -- 61%(I)
forgotten-2017,37%(M) -- 37%(I)
foxtrot-2017,59%(M) -- 63%(I)
newton-2017,53%(M) -- 46%(I)
the-wild-boys,59%(M) -- 58%(I)
i-am-mother,45%(M) -- 37%(I)
memories-of-underdevelopment,55%(M) -- 51%(I)
ava,57%(M) -- 58%(I)
the-partys-just-beginning,41%(M) -- 44%(I)
princess-cyd,56%(M) -- 51%(I)
little-forest,55%(M) -- 45%(I)
the-hero-1966,62%(M) -- 52%(I)
before-we-vanish,61%(M) -- 55%(I)
by-the-time-it-gets-dark,56%(M) -- 53%(I)
summer-1993,59%(M) -- 58%(I)
based-on-a-true-story-2017,41%(M) -- 36%(I)
yearning,59%(M) -- 60%(I)
the-trial,57%(M) -- 65%(I)
ma-rosa,39%(M) -- 32%(I)
macario,66%(M) -- 61%(I)
our-time-2018-1,67%(M) -- 71%(I)
the-world-of-apu,71%(M) -- 58%(I)
nazarin,60%(M) -- 63%(I)
we-own-the-night,42%(M) -- 57%(I)
the-whispering-star,62%(M) -- 64%(I)
climates,57%(M) -- 61%(I)
the-age-of-shadows,54%(M) -- 47%(I)
aparajito,71%(M) -- 60%(I)
jesus-camp,56%(M) -- 50%(I)
21,43%(M) -- 28%(I)
world-trade-center,33%(M) -- 36%(I)
norikos-dinner-table,52%(M) -- 43%(I)
a-bride-for-rip-van-winkle,55%(M) -- 51%(I)
no-no-sleep,52%(M) -- 48%(I)
colossal-youth,55%(M) -- 47%(I)
fearless-2006,46%(M) -- 36%(I)
red-cliff,45%(M) -- 37%(I)
journey-to-the-shore,55%(M) -- 51%(I)
moolaade,61%(M) -- 64%(I)
the-darkest-minds,28%(M) -- 33%(I)
windstruck,51%(M) -- 38%(I)
little-children,57%(M) -- 41%(I)
horse-money,61%(M) -- 65%(I)
samaritan-girl,35%(M) -- 39%(I)
eight-below,37%(M) -- 34%(I)
the-skeleton-key,31%(M) -- 26%(I)
battle-in-heaven,47%(M) -- 51%(I)
clean,57%(M) -- 63%(I)
only-the-brave-2017,47%(M) -- 32%(I)
final-fantasy-vii-advent-children,34%(M) -- 32%(I)
munna-bhai-mbbs,57%(M) -- 48%(I)
black,51%(M) -- 43%(I)
control-2003,41%(M) -- 45%(I)
a-hard-day,50%(M) -- 41%(I)
the-sea-inside,51%(M) -- 49%(I)
swades,57%(M) -- 45%(I)
syriana,58%(M) -- 54%(I)
love-me-if-you-dare,42%(M) -- 39%(I)
save-the-green-planet,44%(M) -- 40%(I)
little-forest-winter-spring,59%(M) -- 52%(I)
little-forest-summer-autumn,59%(M) -- 52%(I)
head-on-2004,60%(M) -- 64%(I)
film:85271,57%(M) -- 54%(I)
last-life-in-the-universe,49%(M) -- 47%(I)
japon,61%(M) -- 70%(I)
hidalgo,26%(M) -- 28%(I)
nasty-baby,58%(M) -- 59%(I)
the-world-of-kanako,44%(M) -- 35%(I)
sweet-sixteen,58%(M) -- 59%(I)
he-named-me-malala,37%(M) -- 33%(I)
take-care-of-my-cat,55%(M) -- 57%(I)
dil-chahta-hai,52%(M) -- 44%(I)
norte-the-end-of-history,59%(M) -- 58%(I)
demonlover,57%(M) -- 59%(I)
petes-dragon-2016,35%(M) -- 37%(I)
miracle-in-cell-no-7,61%(M) -- 49%(I)
new-world,57%(M) -- 43%(I)
nobodys-daughter-haewon,65%(M) -- 70%(I)
joint-security-area,64%(M) -- 66%(I)
the-foul-king,44%(M) -- 36%(I)
blackfish,54%(M) -- 52%(I)
sex-and-lucia,46%(M) -- 54%(I)
baise-moi,35%(M) -- 29%(I)
belle-2013,54%(M) -- 44%(I)
the-past,62%(M) -- 53%(I)
water-2005,64%(M) -- 50%(I)
devdas-2002,57%(M) -- 45%(I)
berserk-the-golden-age-arc-iii-the-advent,38%(M) -- 34%(I)
berserk-the-golden-age-arc-ii-the-battle-for-doldrey,46%(M) -- 38%(I)
beauty-and-the-beast-2014,37%(M) -- 25%(I)
architecture-101,51%(M) -- 37%(I)
katy-perry-part-of-me,32%(M) -- 33%(I)
limite,63%(M) -- 66%(I)
morocco,45%(M) -- 40%(I)
promised-land-2012,35%(M) -- 34%(I)
zarafa,42%(M) -- 40%(I)
the-unspeakable-act,60%(M) -- 65%(I)
war-of-the-arrows,51%(M) -- 37%(I)
voyage-of-time-lifes-journey,63%(M) -- 70%(I)
sunny-2011,61%(M) -- 53%(I)
the-man-who-sleeps,58%(M) -- 52%(I)
declaration-of-war,60%(M) -- 52%(I)
the-quiet-family,54%(M) -- 52%(I)
bleak-night,57%(M) -- 56%(I)
bullhead,42%(M) -- 42%(I)
quills,45%(M) -- 42%(I)
jersey-boys,34%(M) -- 46%(I)
boys-dont-cry,55%(M) -- 64%(I)
snowtown,49%(M) -- 57%(I)
outside-satan,62%(M) -- 74%(I)
bedevilled,56%(M) -- 45%(I)
cold-fish,48%(M) -- 42%(I)
albert-nobbs,44%(M) -- 43%(I)
the-power-of-kangwon-province,53%(M) -- 50%(I)
beautiful-creatures-2013,24%(M) -- 27%(I)
a-better-life,40%(M) -- 36%(I)
hope-springs-2012,37%(M) -- 35%(I)
trust-2010,36%(M) -- 42%(I)
the-messenger-the-story-of-joan-of-arc,43%(M) -- 37%(I)
faust-2011,55%(M) -- 52%(I)
stone-2010,44%(M) -- 33%(I)
arthur-christmas,31%(M) -- 34%(I)
air-doll,57%(M) -- 54%(I)
father-of-my-children,62%(M) -- 52%(I)
in-a-better-world,57%(M) -- 57%(I)
guy-and-madeline-on-a-park-bench,41%(M) -- 34%(I)
submarino,50%(M) -- 47%(I)
seeking-a-friend-for-the-end-of-the-world,46%(M) -- 48%(I)
last-night-2010,36%(M) -- 27%(I)
like-you-know-it-all,58%(M) -- 54%(I)
the-tempest,38%(M) -- 36%(I)
open-your-eyes,55%(M) -- 55%(I)
three-monkeys,57%(M) -- 64%(I)
mysteries-of-lisbon,56%(M) -- 46%(I)
chico-rita,63%(M) -- 60%(I)
chimpanzee,32%(M) -- 32%(I)
the-headless-woman,47%(M) -- 65%(I)
seven-years-in-tibet,34%(M) -- 27%(I)
les-miserables-1998,58%(M) -- 48%(I)
ossos,61%(M) -- 64%(I)
wuthering-heights-2011,65%(M) -- 63%(I)
chocolate-2008,48%(M) -- 38%(I)
agora,29%(M) -- 24%(I)
away-we-go,51%(M) -- 48%(I)
the-extraordinary-adventures-of-adele-blanc-sec,34%(M) -- 26%(I)
comrades-almost-a-love-story,64%(M) -- 61%(I)
ponette,63%(M) -- 66%(I)
mum-mum-mum,56%(M) -- 54%(I)
whip-it,44%(M) -- 43%(I)
the-rite-2011,27%(M) -- 26%(I)
a-frozen-flower,39%(M) -- 32%(I)
vincere,43%(M) -- 44%(I)
a-little-princess-1995,56%(M) -- 42%(I)
pride-and-prejudice-1995,56%(M) -- 45%(I)
burlesque,26%(M) -- 31%(I)
casa-de-lava,60%(M) -- 53%(I)
the-client,41%(M) -- 36%(I)
madadayo,59%(M) -- 46%(I)
lina-from-lima,61%(M) -- 51%(I)
the-bare-necessity,37%(M) -- 40%(I)
center-stage-1991,68%(M) -- 62%(I)
light-sleeper,57%(M) -- 61%(I)
the-mourning-forest,58%(M) -- 60%(I)
knight-and-day,19%(M) -- 20%(I)
mary-is-happy-mary-is-happy,60%(M) -- 60%(I)
monsoon-2019,47%(M) -- 43%(I)
electra-my-love,60%(M) -- 56%(I)
varsity-blues,38%(M) -- 39%(I)
scream-2022,36%(M) -- 33%(I)
executive-decision,34%(M) -- 26%(I)
tequila-sunrise,38%(M) -- 26%(I)
the-souvenir-part-ii,65%(M) -- 61%(I)
halloween-ii,45%(M) -- 37%(I)
the-forever-purge,38%(M) -- 40%(I)
moscow-does-not-believe-in-tears,60%(M) -- 61%(I)
bowfinger,57%(M) -- 47%(I)
come-play,30%(M) -- 38%(I)
keep-an-eye-out,54%(M) -- 52%(I)
the-empty-man,45%(M) -- 43%(I)
cant-buy-me-love,42%(M) -- 39%(I)
hagazussa,42%(M) -- 36%(I)
still-processing,44%(M) -- 45%(I)
the-sparks-brothers,55%(M) -- 52%(I)
ride-your-wave,44%(M) -- 37%(I)
its-complicated,39%(M) -- 27%(I)
moonlit-winter,60%(M) -- 57%(I)
kirikou-and-the-sorceress,63%(M) -- 65%(I)
wheels-on-meals,55%(M) -- 46%(I)
365-days-2020,40%(M) -- 37%(I)
the-broken-hearts-gallery,33%(M) -- 32%(I)
holidate,30%(M) -- 32%(I)
the-oath-2018,37%(M) -- 39%(I)
the-craft-legacy,29%(M) -- 36%(I)
monkey-shines,48%(M) -- 48%(I)
hubie-halloween,31%(M) -- 40%(I)
swimming-out-till-the-sea-turns-blue,58%(M) -- 50%(I)
the-loveless,38%(M) -- 46%(I)
the-legend-of-billie-jean,41%(M) -- 37%(I)
she-dies-tomorrow,59%(M) -- 61%(I)
bunny-lake-is-missing,60%(M) -- 58%(I)
the-addiction,55%(M) -- 48%(I)
two-for-the-road,65%(M) -- 57%(I)
secret-obsession,36%(M) -- 34%(I)
funny-girl,58%(M) -- 54%(I)
visit-2020,43%(M) -- 39%(I)
time-to-hunt,34%(M) -- 36%(I)
martha-1974,63%(M) -- 57%(I)
please-give,60%(M) -- 58%(I)
lovely-amazing,57%(M) -- 50%(I)
material-girls,35%(M) -- 37%(I)
ishtar,52%(M) -- 36%(I)
yes-madam,55%(M) -- 50%(I)
krabi-2562,44%(M) -- 60%(I)
field-niggas,63%(M) -- 59%(I)
the-mouth-agape,62%(M) -- 70%(I)
bonjour-tristesse,44%(M) -- 40%(I)
the-roommate,25%(M) -- 25%(I)
eyes-of-laura-mars,49%(M) -- 36%(I)
holy-smoke,43%(M) -- 58%(I)
duelle,58%(M) -- 57%(I)
unicorn-store,34%(M) -- 42%(I)
as-above-so-below-2014,35%(M) -- 34%(I)
the-comfort-of-strangers,40%(M) -- 41%(I)
an-easy-girl,46%(M) -- 45%(I)
the-photograph-2020,35%(M) -- 41%(I)
bless-their-little-hearts,67%(M) -- 61%(I)
if-only,37%(M) -- 33%(I)
edvard-munch,63%(M) -- 64%(I)
black-christmas-2019,38%(M) -- 40%(I)
tall-girl,38%(M) -- 36%(I)
wasp-network,41%(M) -- 39%(I)
47-meters-down-uncaged,38%(M) -- 38%(I)
new-year-new-you,37%(M) -- 39%(I)
swing-time,57%(M) -- 48%(I)
from-the-life-of-the-marionettes,60%(M) -- 64%(I)
daughter-of-the-nile,64%(M) -- 55%(I)
second-act,29%(M) -- 35%(I)
the-nun,64%(M) -- 56%(I)
ma-2019,32%(M) -- 39%(I)
gay-usa,66%(M) -- 71%(I)
halloween,33%(M) -- 37%(I)
loro,53%(M) -- 57%(I)
set-it-off,44%(M) -- 39%(I)
the-biggest-little-farm,61%(M) -- 54%(I)
to-sleep-with-anger,63%(M) -- 53%(I)
someone-great,31%(M) -- 36%(I)
little,31%(M) -- 36%(I)
film:22349,61%(M) -- 69%(I)
insiang,60%(M) -- 62%(I)
ganja-hess,59%(M) -- 58%(I)
kitty-2016,57%(M) -- 55%(I)
the-plagiarists,40%(M) -- 46%(I)
written-on-the-wind,60%(M) -- 67%(I)
act-da-fool,57%(M) -- 56%(I)
nothing-like-a-dame,41%(M) -- 41%(I)
us-go-home,63%(M) -- 64%(I)
babylon,57%(M) -- 49%(I)
amazing-grace-2018,58%(M) -- 63%(I)
down-2019,38%(M) -- 39%(I)
life-of-the-party-2018,29%(M) -- 38%(I)
the-princess-switch,38%(M) -- 37%(I)
1985-2018,57%(M) -- 47%(I)
hell-fest,33%(M) -- 40%(I)
la-flor,59%(M) -- 60%(I)
in-my-room-2018,37%(M) -- 46%(I)
sorry-angel,59%(M) -- 53%(I)
heaven-can-wait,56%(M) -- 55%(I)
a-star-is-born-1954,54%(M) -- 49%(I)
the-children-act,37%(M) -- 37%(I)
when-you-read-this-letter,37%(M) -- 47%(I)
working-girls-1986,65%(M) -- 70%(I)
claudine,64%(M) -- 57%(I)
siberia-2018-1,30%(M) -- 35%(I)
walking-and-talking,57%(M) -- 60%(I)
easy-living,59%(M) -- 57%(I)
the-first-purge,26%(M) -- 33%(I)
a-kid-like-jake,29%(M) -- 36%(I)
book-club-2018,31%(M) -- 24%(I)
the-woman-next-door,55%(M) -- 67%(I)
nico-1988,51%(M) -- 55%(I)
chappaquiddick,43%(M) -- 39%(I)
kodachrome,46%(M) -- 33%(I)
cruising,54%(M) -- 45%(I)
just-another-girl-on-the-irt,63%(M) -- 55%(I)
the-strangers-prey-at-night,34%(M) -- 32%(I)
hale-county-this-morning-this-evening,50%(M) -- 43%(I)
black-mother,61%(M) -- 56%(I)
the-young-karl-marx,38%(M) -- 50%(I)
ball-of-fire,64%(M) -- 62%(I)
green-snake,61%(M) -- 55%(I)
police-story-2,52%(M) -- 41%(I)
selena,44%(M) -- 39%(I)
lola-montes,66%(M) -- 66%(I)
pola-x,48%(M) -- 54%(I)
the-cloud-capped-star,63%(M) -- 56%(I)
whos-afraid-of-virginia-woolf,84%(M) -- 75%(I)
some-came-running,57%(M) -- 57%(I)
crooked-house-2017,35%(M) -- 35%(I)
women-in-love,57%(M) -- 54%(I)
ricki-and-the-flash,30%(M) -- 34%(I)
yes-god-yes,37%(M) -- 38%(I)
images,63%(M) -- 70%(I)
blood-rage-1987,42%(M) -- 35%(I)
the-devils-candy,42%(M) -- 39%(I)
an-unmarried-woman,59%(M) -- 56%(I)
western-2017,41%(M) -- 38%(I)
the-king-and-i,63%(M) -- 48%(I)
quay-2015,38%(M) -- 37%(I)
that-awkward-moment,32%(M) -- 38%(I)
whats-your-number,25%(M) -- 22%(I)
no-reservations,36%(M) -- 26%(I)
sex-and-the-city-2,30%(M) -- 25%(I)
the-rebound,41%(M) -- 35%(I)
the-prince-me,39%(M) -- 35%(I)
kiss-the-girls,30%(M) -- 26%(I)
where-the-heart-is-2000,30%(M) -- 26%(I)
the-long-kiss-goodnight,39%(M) -- 27%(I)
reindeer-games,34%(M) -- 27%(I)
romy-and-micheles-high-school-reunion,46%(M) -- 36%(I)
harriet-the-spy,41%(M) -- 40%(I)
thumbelina,34%(M) -- 27%(I)
the-swan-princess,43%(M) -- 37%(I)
river-of-grass,61%(M) -- 60%(I)
the-way-we-were,42%(M) -- 36%(I)
the-women-2008,35%(M) -- 27%(I)
ice-princess,41%(M) -- 35%(I)
tuck-everlasting,54%(M) -- 43%(I)
the-rescuers-down-under,43%(M) -- 37%(I)
the-great-mouse-detective,48%(M) -- 47%(I)
the-parent-trap,57%(M) -- 48%(I)
heaven-2002,49%(M) -- 45%(I)
hollywoodland,52%(M) -- 39%(I)
life-size,35%(M) -- 36%(I)
just-my-luck-2006,27%(M) -- 28%(I)
you-again,33%(M) -- 34%(I)
the-to-do-list,33%(M) -- 27%(I)
violette-noziere,55%(M) -- 59%(I)
tanner-hall,42%(M) -- 33%(I)
all-that-heaven-allows,69%(M) -- 74%(I)
firestarter,44%(M) -- 39%(I)
wild-things,37%(M) -- 27%(I)
the-grudge-2,39%(M) -- 35%(I)
the-grudge,36%(M) -- 23%(I)
my-super-ex-girlfriend,33%(M) -- 36%(I)
the-family-stone,47%(M) -- 36%(I)
casanova,30%(M) -- 23%(I)
the-edge-of-love,36%(M) -- 46%(I)
wimbledon,37%(M) -- 42%(I)
mona-lisa-smile,40%(M) -- 31%(I)
the-texas-chainsaw-massacre-the-beginning,38%(M) -- 35%(I)
the-beguiled,59%(M) -- 65%(I)
the-devil-probably,58%(M) -- 59%(I)
mikey-and-nicky,69%(M) -- 81%(I)
poltergeist-2015,30%(M) -- 34%(I)
cooties,34%(M) -- 38%(I)
sinister-2,32%(M) -- 36%(I)
fort-tilden,55%(M) -- 50%(I)
the-longest-ride,27%(M) -- 39%(I)
we-are-your-friends,31%(M) -- 38%(I)
people-places-things,52%(M) -- 51%(I)
the-duff,29%(M) -- 32%(I)
reality-2014,64%(M) -- 74%(I)
krampus,27%(M) -- 31%(I)
breathe-2014,61%(M) -- 54%(I)
testament-of-youth,50%(M) -- 42%(I)
magic-mike-xxl,42%(M) -- 54%(I)
the-late-bloomer,33%(M) -- 38%(I)
the-boss-2016,33%(M) -- 37%(I)
hello-my-name-is-doris,36%(M) -- 40%(I)
the-purge-election-year,30%(M) -- 34%(I)
spa-night,56%(M) -- 52%(I)
the-meddler,48%(M) -- 43%(I)
passion-2012,39%(M) -- 39%(I)
the-killing-of-a-chinese-bookie,63%(M) -- 68%(I)
a-swedish-love-story,44%(M) -- 50%(I)
i-knew-her-well,59%(M) -- 63%(I)
mommie-dearest,44%(M) -- 39%(I)
sweet-movie,56%(M) -- 59%(I)
bay-of-angels,56%(M) -- 59%(I)
we-are-still-here,40%(M) -- 37%(I)
the-crazies,55%(M) -- 48%(I)
megan-leavey,30%(M) -- 37%(I)
a-new-leaf,57%(M) -- 57%(I)
the-butcher-1970,52%(M) -- 55%(I)
rat-film,58%(M) -- 55%(I)
the-trip-to-spain,59%(M) -- 57%(I)
my-entire-high-school-sinking-into-the-sea,60%(M) -- 56%(I)
unforgettable-2017,33%(M) -- 38%(I)
in-a-year-with-13-moons,64%(M) -- 71%(I)
the-mother-and-the-whore,63%(M) -- 56%(I)
the-devils,59%(M) -- 64%(I)
as-you-are,43%(M) -- 39%(I)
fifty-shades-darker,26%(M) -- 22%(I)
minnie-and-moskowitz,61%(M) -- 59%(I)
charley-varrick,63%(M) -- 54%(I)
modern-romance,60%(M) -- 56%(I)
xx,40%(M) -- 39%(I)
the-bye-bye-man,30%(M) -- 35%(I)
mirror-mirror-2012,27%(M) -- 31%(I)
together-together,60%(M) -- 43%(I)
proof-2005,37%(M) -- 34%(I)
igby-goes-down,50%(M) -- 41%(I)
air-bud,39%(M) -- 37%(I)
the-upside-of-anger,46%(M) -- 37%(I)
jack-frost,25%(M) -- 33%(I)
let-it-snow-2019,28%(M) -- 29%(I)
ballerina-2016,36%(M) -- 26%(I)
shall-we-dance-2004,33%(M) -- 27%(I)
before-we-go,38%(M) -- 24%(I)
mystic-pizza,40%(M) -- 38%(I)
october-sky,58%(M) -- 52%(I)
the-disappearance-of-eleanor-rigby-him,56%(M) -- 47%(I)
the-disappearance-of-eleanor-rigby-her,56%(M) -- 50%(I)
how-it-ends-2021,40%(M) -- 37%(I)
cyrano-2021,41%(M) -- 36%(I)
zeros-and-ones,54%(M) -- 56%(I)
a-cop-movie,50%(M) -- 52%(I)
onoda-10000-nights-in-the-jungle,61%(M) -- 66%(I)
the-disciple-2020,60%(M) -- 54%(I)
a-hero,60%(M) -- 54%(I)
gagarine-2020,60%(M) -- 68%(I)
the-great-indian-kitchen,57%(M) -- 51%(I)
the-addams-family-2,37%(M) -- 35%(I)
identifying-features,60%(M) -- 63%(I)
what-do-we-see-when-we-look-at-the-sky,47%(M) -- 53%(I)
petrovs-flu,49%(M) -- 49%(I)
history-of-the-occult,40%(M) -- 36%(I)
hive-2021,55%(M) -- 55%(I)
mandibles,44%(M) -- 59%(I)
intregalde,47%(M) -- 44%(I)
sing-2,41%(M) -- 40%(I)
my-salinger-year,39%(M) -- 33%(I)
yuni,65%(M) -- 67%(I)
aloners,61%(M) -- 52%(I)
blue-bayou-2021,57%(M) -- 57%(I)
arisaka,39%(M) -- 32%(I)
the-novice-2021,45%(M) -- 38%(I)
his-house,50%(M) -- 67%(I)
the-feast-2021,41%(M) -- 42%(I)
i-carry-you-with-me,58%(M) -- 43%(I)
the-beta-test,50%(M) -- 42%(I)
in-the-earth,42%(M) -- 42%(I)
worth-2020,42%(M) -- 36%(I)
the-night-house,51%(M) -- 55%(I)
oxygen-2021,35%(M) -- 39%(I)
theres-someone-inside-your-house,33%(M) -- 39%(I)
whether-the-weather-is-fine,58%(M) -- 58%(I)
the-medium-2021,43%(M) -- 40%(I)
help-2021,54%(M) -- 45%(I)
how-did-they-ever-make-a-movie-of-facebook,47%(M) -- 42%(I)
escape-room-tournament-of-champions,32%(M) -- 38%(I)
candyman-2021,36%(M) -- 39%(I)
french-exit-2020,39%(M) -- 40%(I)
gaia-2021,40%(M) -- 36%(I)
plan-b-2021,38%(M) -- 36%(I)
willys-wonderland,22%(M) -- 33%(I)
spiral-from-the-book-of-saw,37%(M) -- 33%(I)
a-dogs-will,55%(M) -- 45%(I)
mainstream-2020,35%(M) -- 39%(I)
they-shoot-horses-dont-they,65%(M) -- 55%(I)
unhinged-2020,31%(M) -- 35%(I)
superstar-the-karen-carpenter-story,64%(M) -- 66%(I)
as-i-was-moving-ahead-occasionally-i-saw-brief-glimpses-of-beauty,61%(M) -- 55%(I)
black-dynamite,59%(M) -- 48%(I)
abducted-in-plain-sight,32%(M) -- 35%(I)
heart-attack-2015,58%(M) -- 59%(I)
fan-girl-2020,52%(M) -- 47%(I)
ode-to-nothing,57%(M) -- 52%(I)
swing-kids-2018,36%(M) -- 30%(I)
kisapmata,57%(M) -- 53%(I)
barbers-tales,53%(M) -- 44%(I)
evolution-of-a-filipino-family,54%(M) -- 44%(I)
36-2012,60%(M) -- 61%(I)
die-tomorrow,60%(M) -- 65%(I)
call-her-ganda,55%(M) -- 46%(I)
unedited-footage-of-a-bear,58%(M) -- 61%(I)
aswang-2019,61%(M) -- 52%(I)
the-three-stooges,29%(M) -- 32%(I)
this-film-is-not-yet-rated,46%(M) -- 40%(I)
ice-cream-and-the-sound-of-raindrops,55%(M) -- 46%(I)
glee-the-concert-movie,41%(M) -- 43%(I)
misbehaviour-2020,34%(M) -- 35%(I)
trolls-world-tour,30%(M) -- 24%(I)
capturing-the-friedmans,73%(M) -- 73%(I)
triangle-2009,49%(M) -- 51%(I)
six-degrees-of-separation-from-lilia-cuntapay,52%(M) -- 42%(I)
thats-my-boy-2012,29%(M) -- 36%(I)
the-gunfighter-2014,51%(M) -- 43%(I)
the-beauty-inside,52%(M) -- 42%(I)
the-kitchen-2019,32%(M) -- 35%(I)
the-hunt-2020,34%(M) -- 44%(I)
hotel-transylvania-3-summer-vacation,27%(M) -- 32%(I)
tune-in-for-love,40%(M) -- 32%(I)
birdshot,52%(M) -- 43%(I)
the-possession-of-hannah-grace,28%(M) -- 34%(I)
captain-underpants-the-first-epic-movie,32%(M) -- 38%(I)
scary-movie-5,28%(M) -- 31%(I)
a-haunted-house-2,38%(M) -- 36%(I)
a-haunted-house,38%(M) -- 36%(I)
the-loved-ones,56%(M) -- 50%(I)
getaway,31%(M) -- 35%(I)
black-mirror-smithereens,41%(M) -- 35%(I)
black-mirror-rachel-jack-and-ashley-too,28%(M) -- 27%(I)
black-mirror-striking-vipers,26%(M) -- 36%(I)
poms,29%(M) -- 36%(I)
i-see-you-2019,34%(M) -- 35%(I)
the-hole-in-the-ground-2019,36%(M) -- 35%(I)
to-all-the-boys-ps-i-still-love-you,27%(M) -- 34%(I)
countdown-2019,30%(M) -- 35%(I)
kim-possible,38%(M) -- 40%(I)
the-angry-birds-movie-2,26%(M) -- 24%(I)
miss-bala-2019,29%(M) -- 35%(I)
the-sun-is-also-a-star,29%(M) -- 35%(I)
uglydolls,29%(M) -- 34%(I)
we-have-always-lived-in-the-castle,36%(M) -- 33%(I)
the-silence-2019,29%(M) -- 35%(I)
stuber,32%(M) -- 37%(I)
the-highwaymen,40%(M) -- 36%(I)
the-aftermath-2019,38%(M) -- 34%(I)
haunt-2019,38%(M) -- 37%(I)
a-dogs-journey,35%(M) -- 35%(I)
batman-hush,31%(M) -- 34%(I)
wonder-park,32%(M) -- 39%(I)
the-man-who-killed-hitler-and-then-the-bigfoot,41%(M) -- 36%(I)
cold-pursuit,49%(M) -- 40%(I)
the-addams-family-2019,25%(M) -- 23%(I)
game-of-thrones-the-last-watch,45%(M) -- 34%(I)
the-red-sea-diving-resort,38%(M) -- 36%(I)
triple-frontier,41%(M) -- 42%(I)
stockholm-2018,41%(M) -- 40%(I)
the-boy-who-harnessed-the-wind,61%(M) -- 52%(I)
ophelia-2018,50%(M) -- 39%(I)
breakthrough-2019,30%(M) -- 35%(I)
the-prodigy-2019,37%(M) -- 43%(I)
the-art-of-racing-in-the-rain,37%(M) -- 35%(I)
escape-room-2019,35%(M) -- 37%(I)
the-aeronauts-2019,46%(M) -- 43%(I)
togo,47%(M) -- 37%(I)
polar-2019,38%(M) -- 37%(I)
a-dogs-way-home,28%(M) -- 25%(I)
eli-2019,38%(M) -- 36%(I)
tolkien-2019,42%(M) -- 38%(I)
southbound-2015,40%(M) -- 41%(I)
acts-of-violence-2018,28%(M) -- 33%(I)
little-evil,38%(M) -- 36%(I)
the-package-2018,38%(M) -- 36%(I)
the-kissing-booth,25%(M) -- 40%(I)
unfriended-dark-web,23%(M) -- 31%(I)
truth-or-dare-2018,29%(M) -- 34%(I)
the-ruins,33%(M) -- 35%(I)
midnight-sun-2018,29%(M) -- 31%(I)
norm-of-the-north,29%(M) -- 35%(I)
please-stand-by-2017,52%(M) -- 44%(I)
son-of-rambow,57%(M) -- 44%(I)
escape-plan-2-hades,38%(M) -- 36%(I)
brain-on-fire,33%(M) -- 33%(I)
sherlock-gnomes,30%(M) -- 35%(I)
7-days-in-entebbe,32%(M) -- 39%(I)
early-man,29%(M) -- 35%(I)
better-watch-out,46%(M) -- 54%(I)
music-2021,38%(M) -- 35%(I)
ali-wong-hard-knock-wife,48%(M) -- 40%(I)
ali-wong-baby-cobra,46%(M) -- 39%(I)
gretel-hansel,34%(M) -- 32%(I)
spirit-untamed,30%(M) -- 33%(I)
joe-bell,31%(M) -- 35%(I)
ideal-home,33%(M) -- 35%(I)
io,29%(M) -- 35%(I)
midnight-family,48%(M) -- 51%(I)
arctic-2018,45%(M) -- 43%(I)
the-clovehitch-killer,46%(M) -- 43%(I)
hotel-transylvania-transformania,30%(M) -- 35%(I)
station-eleven,53%(M) -- 52%(I)
back-to-the-outback,30%(M) -- 33%(I)
the-unholy-2021,30%(M) -- 35%(I)
encounter-2021-1,32%(M) -- 36%(I)
rec-apocalypse,29%(M) -- 34%(I)
superman-red-son-2020,27%(M) -- 33%(I)
straw-dogs-2011,33%(M) -- 36%(I)
i-dont-know-how-she-does-it,48%(M) -- 31%(I)
children-of-the-corn,31%(M) -- 31%(I)
werewolves-within,34%(M) -- 35%(I)
class-action-park,38%(M) -- 35%(I)
justin-bieber-never-say-never,30%(M) -- 34%(I)
voyagers-2021,29%(M) -- 35%(I)
flower-2017,31%(M) -- 35%(I)
beckett,26%(M) -- 36%(I)
big-mommas-house-2,32%(M) -- 34%(I)
monster-hunter-2020,21%(M) -- 22%(I)
stardust-2020,30%(M) -- 34%(I)
piranha-3dd,38%(M) -- 34%(I)
the-kissing-booth-3,30%(M) -- 35%(I)
its-a-sin-2021,54%(M) -- 57%(I)
wish-dragon,35%(M) -- 35%(I)
film:585006,28%(M) -- 31%(I)
the-last-letter-from-your-lover,30%(M) -- 36%(I)
let-him-go,52%(M) -- 47%(I)
straight-up,50%(M) -- 53%(I)
blood-red-sky,28%(M) -- 31%(I)
jolt,30%(M) -- 35%(I)
a-classic-horror-story,32%(M) -- 37%(I)
knowing,26%(M) -- 29%(I)
